1,0,0
0.9997533,2.62E-05,0
0.9990134,0.000104732,0
0.997781,0.000235297,0
0.9960574,0.000417626,0
0.9938442,0.000651117,0
0.9911436,0.000935269,0
0.9879584,0.001269179,0
0.9842916,0.001651944,0
0.9801469,0.002082661,0
0.9755283,0.002560026,0
0.9704404,0.003082834,0
0.9648883,0.003649681,0
0.9588773,0.004259161,0
0.9524136,0.004909769,0
0.9455033,0.005599899,0
0.9381534,0.006327645,0
0.930371,0.007091599,0
0.922164,0.007889655,0
0.9135403,0.008720104,0
0.9045085,0.009580939,0
0.8950775,0.010470452,0
0.8852567,0.011386432,0
0.8750556,0.012326972,0
0.8644844,0.013290162,0
0.8535534,0.014273892,0
0.8422736,0.015276051,0
0.830656,0.01629473,0
0.818712,0.017327717,0
0.8064536,0.018373101,0
0.7938927,0.019428671,0
0.7810417,0.020492316,0
0.7679134,0.021561822,0
0.7545208,0.022635278,0
0.7408769,0.023710271,0
0.7269953,0.024784789,0
0.7128897,0.025856419,0
0.698574,0.026923048,0
0.6840623,0.027982361,0
0.669369,0.029031946,0
0.6545085,0.030069589,0
0.6394956,0.031092677,0
0.624345,0.032098794,0
0.6090717,0.033085627,0
0.5936907,0.034050462,0
0.5782173,0.034990785,0
0.5626667,0.03590408,0
0.5470542,0.036787534,0
0.5313953,0.037638631,0
0.5157054,0.038454558,0
0.5,0.0392327,0
0.4842947,0.039970342,0
0.4686048,0.040664768,0
0.4529459,0.041313366,0
0.4373334,0.04191352,0
0.4217828,0.042462515,0
0.4063094,0.042957838,0
0.3909284,0.043397073,0
0.3756551,0.043777706,0
0.3605045,0.044097623,0
0.3454915,0.044354511,0
0.3306311,0.044546454,0
0.3159378,0.044671439,0
0.3014261,0.044727652,0
0.2871104,0.044713681,0
0.2730048,0.04462811,0
0.2591232,0.044469629,0
0.2454793,0.044237422,0
0.2320866,0.043930478,0
0.2189583,0.043548384,0
0.2061074,0.043090829,0
0.1935465,0.042557599,0
0.181288,0.041948883,0
0.1693441,0.04126497,0
0.1577265,0.040506348,0
0.1464466,0.039674008,0
0.1355157,0.038768838,0
0.1249445,0.037792027,0
0.1147434,0.036744967,0
0.1049225,0.035629148,0
0.0954915,0.034446461,0
0.0864597,0.033198696,0
0.077836,0.031887845,0
0.069629,0.030516001,0
0.0618467,0.029085455,0
0.0544967,0.027598401,0
0.0475865,0.026057131,0
0.0411227,0.024464039,0
0.0351118,0.022821519,0
0.0295596,0.021131666,0
0.0244717,0.019396874,0
0.0198532,0.017619339,0
0.0157084,0.015801056,0
0.0120416,0.013944221,0
0.0088564,0.012050531,0
0.0061558,0.010121683,0
0.0039426,0.008159374,0
0.002219,0.006165003,0
0.0009866,0.004139568,0
0.0002467,0.002084367,0
0,0,0
0.0002467,-0.002084367,0
0.0009866,-0.004139568,0
0.002219,-0.006165003,0
0.0039426,-0.008159374,0
0.0061558,-0.010121683,0
0.0088564,-0.012050531,0
0.0120416,-0.013944221,0
0.0157084,-0.015801056,0
0.0198532,-0.017619339,0
0.0244717,-0.019396874,0
0.0295596,-0.021131666,0
0.0351118,-0.022821519,0
0.0411227,-0.024464039,0
0.0475865,-0.026057131,0
0.0544967,-0.027598401,0
0.0618467,-0.029085455,0
0.069629,-0.030516001,0
0.077836,-0.031887845,0
0.0864597,-0.033198696,0
0.0954915,-0.034446461,0
0.1049225,-0.035629148,0
0.1147434,-0.036744967,0
0.1249445,-0.037792027,0
0.1355157,-0.038768838,0
0.1464466,-0.039674008,0
0.1577265,-0.040506348,0
0.1693441,-0.04126497,0
0.181288,-0.041948883,0
0.1935465,-0.042557599,0
0.2061074,-0.043090829,0
0.2189583,-0.043548384,0
0.2320866,-0.043930478,0
0.2454793,-0.044237422,0
0.2591232,-0.044469629,0
0.2730048,-0.04462811,0
0.2871104,-0.044713681,0
0.3014261,-0.044727652,0
0.3159378,-0.044671439,0
0.3306311,-0.044546454,0
0.3454915,-0.044354511,0
0.3605045,-0.044097623,0
0.3756551,-0.043777706,0
0.3909284,-0.043397073,0
0.4063094,-0.042957838,0
0.4217828,-0.042462515,0
0.4373334,-0.04191352,0
0.4529459,-0.041313366,0
0.4686048,-0.040664768,0
0.4842947,-0.039970342,0
0.5,-0.0392327,0
0.5157054,-0.038454558,0
0.5313953,-0.037638631,0
0.5470542,-0.036787534,0
0.5626667,-0.03590408,0
0.5782173,-0.034990785,0
0.5936907,-0.034050462,0
0.6090717,-0.033085627,0
0.624345,-0.032098794,0
0.6394956,-0.031092677,0
0.6545085,-0.030069589,0
0.669369,-0.029031946,0
0.6840623,-0.027982361,0
0.698574,-0.026923048,0
0.7128897,-0.025856419,0
0.7269953,-0.024784789,0
0.7408769,-0.023710271,0
0.7545208,-0.022635278,0
0.7679134,-0.021561822,0
0.7810417,-0.020492316,0
0.7938927,-0.019428671,0
0.8064536,-0.018373101,0
0.818712,-0.017327717,0
0.830656,-0.01629473,0
0.8422736,-0.015276051,0
0.8535534,-0.014273892,0
0.8644844,-0.013290162,0
0.8750556,-0.012326972,0
0.8852567,-0.011386432,0
0.8950775,-0.010470452,0
0.9045085,-0.009580939,0
0.9135403,-0.008720104,0
0.922164,-0.007889655,0
0.930371,-0.007091599,0
0.9381534,-0.006327645,0
0.9455033,-0.005599899,0
0.9524136,-0.004909769,0
0.9588773,-0.004259161,0
0.9648883,-0.003649681,0
0.9704404,-0.003082834,0
0.9755283,-0.002560026,0
0.9801469,-0.002082661,0
0.9842916,-0.001651944,0
0.9879584,-0.001269179,0
0.9911436,-0.000935269,0
0.9938442,-0.000651117,0
